,Number of Rooms,Distance,Number of Bedroom,Bathroom,YearBuilt,"Price in $1,000,000"
339,4,11.1,4.0,2.0,2008.0,0.693
340,3,11.1,5.0,2.0,2010.0,0.62
342,3,11.1,3.0,1.0,1960.0,0.7285
343,3,11.1,3.0,2.0,1950.0,0.931
344,3,11.1,3.0,1.0,2008.0,0.988
349,3,11.1,3.0,2.0,1960.0,0.815
356,4,11.1,4.0,1.0,1960.0,1.2
361,2,11.1,2.0,1.0,1970.0,0.292
365,2,6.3,2.0,1.0,1964.0,0.599
367,3,6.3,3.0,2.0,1998.0,0.995
368,3,6.3,3.0,2.0,2000.0,1.205
371,3,6.3,3.0,2.0,1889.0,1.939
375,3,6.3,3.0,1.0,1888.0,1.87
380,3,6.3,3.0,2.0,1995.0,1.918
383,3,6.3,3.0,2.0,1910.0,2.05
392,3,6.3,3.0,2.0,1970.0,0.735
399,2,6.3,3.0,1.0,1960.0,0.645
400,1,6.3,2.0,2.0,1900.0,1.435
402,1,6.3,1.0,1.0,1975.0,0.28
407,2,6.3,2.0,1.0,1970.0,0.5925
409,2,6.3,2.0,1.0,1910.0,1.21
416,3,6.3,3.0,2.0,1910.0,1.8
418,4,6.3,4.0,1.0,1900.0,2.2
432,1,6.3,1.0,1.0,1970.0,0.44
435,2,6.3,2.0,1.0,1966.0,0.49
438,3,6.3,2.0,1.0,1900.0,1.3
441,2,6.3,2.0,1.0,1969.0,0.704
444,2,6.3,3.0,1.0,1970.0,0.62
445,3,6.3,3.0,1.0,1900.0,1.9
453,2,6.3,2.0,1.0,1970.0,0.71
454,2,6.3,2.0,1.0,1953.0,0.872
455,2,6.3,2.0,1.0,1970.0,0.598
457,3,6.3,3.0,1.0,1920.0,1.285
461,2,6.3,1.0,1.0,1970.0,0.52
467,3,6.3,3.0,1.0,2000.0,1.101
473,3,6.3,2.0,1.0,1940.0,0.869
480,1,6.3,1.0,1.0,2013.0,0.567
483,2,6.3,2.0,1.0,1980.0,0.4715
486,3,5.9,3.0,1.0,1920.0,0.94
487,2,5.9,2.0,1.0,1980.0,0.467
490,3,5.9,3.0,2.0,1910.0,1.38
491,2,5.9,2.0,1.0,1970.0,0.49
492,4,5.9,4.0,3.0,1900.0,1.85
493,3,5.9,3.0,1.0,1938.0,1.284
494,3,5.9,3.0,2.0,1900.0,0.971
495,2,5.9,2.0,1.0,1890.0,0.71
497,2,5.9,2.0,1.0,1920.0,0.75
499,2,5.9,2.0,1.0,1900.0,1.053
500,3,5.9,3.0,1.0,1900.0,1.377
501,3,5.9,3.0,1.0,1904.0,0.97
503,2,5.9,2.0,1.0,1890.0,0.751
504,2,5.9,2.0,1.0,1900.0,0.95
506,2,5.9,2.0,1.0,1995.0,0.685
508,3,5.9,4.0,1.0,1960.0,1.23
512,2,5.9,2.0,1.0,1900.0,0.77
514,3,5.9,3.0,2.0,2011.0,0.96
515,4,5.9,4.0,1.0,1890.0,0.89
519,3,5.9,3.0,1.0,1900.0,1.44
521,2,5.9,2.0,1.0,2010.0,0.45
522,3,5.9,3.0,1.0,1950.0,0.801
525,3,5.9,3.0,2.0,1955.0,1.0
526,3,5.9,3.0,2.0,1950.0,1.435
527,1,5.9,1.0,1.0,1972.0,0.39
528,3,5.9,3.0,2.0,1920.0,1.425
530,4,5.9,3.0,2.0,1978.0,1.34
531,3,5.9,3.0,1.0,1910.0,0.955
533,4,5.9,4.0,2.0,1920.0,1.1
536,2,5.9,2.0,1.0,1978.0,0.432
537,4,5.9,4.0,3.0,1890.0,1.64
538,6,5.9,4.0,2.0,1900.0,1.43
539,2,5.9,2.0,1.0,1995.0,0.61
540,3,5.9,3.0,3.0,1950.0,0.94
541,3,5.9,3.0,1.0,1920.0,0.89
543,3,5.9,3.0,2.0,1930.0,1.18
544,4,5.9,4.0,2.0,1939.0,1.48
548,2,5.9,2.0,2.0,2015.0,0.865
549,2,5.9,2.0,2.0,1998.0,0.705
550,2,5.9,2.0,1.0,1975.0,0.442
552,3,5.9,3.0,1.0,1920.0,1.0375
553,3,5.9,3.0,2.0,2013.0,1.05
555,2,5.9,2.0,1.0,1970.0,0.44
557,4,5.9,4.0,2.0,1900.0,1.43
564,3,5.9,3.0,2.0,1900.0,1.13
565,3,5.9,3.0,1.0,1910.0,1.135
566,4,5.9,4.0,2.0,1920.0,0.95
569,2,5.9,2.0,1.0,2012.0,0.39
570,4,5.9,4.0,1.0,1920.0,1.345
572,3,5.9,3.0,2.0,1900.0,1.3815
573,3,5.9,3.0,2.0,2011.0,0.94
574,3,5.9,3.0,2.0,2010.0,0.995
576,3,5.9,3.0,2.0,1940.0,0.786
577,2,5.9,2.0,1.0,1910.0,0.705
579,2,5.9,2.0,1.0,1900.0,0.76
580,3,5.9,3.0,1.0,1972.0,0.4875
582,3,5.9,3.0,2.0,2003.0,1.0
583,4,5.9,4.0,2.0,1920.0,1.11
587,3,5.9,2.0,1.0,1900.0,1.305
590,3,5.9,3.0,1.0,1960.0,1.215
591,2,5.9,2.0,1.0,1900.0,0.545
594,4,5.9,4.0,2.0,2012.0,1.705
599,3,11.0,3.0,2.0,1930.0,1.67
601,3,11.0,3.0,3.0,2014.0,2.05
603,2,11.0,2.0,1.0,2010.0,0.5
607,3,11.0,3.0,2.0,1935.0,1.555
614,3,11.0,3.0,3.0,2004.0,1.1
615,3,11.0,3.0,1.0,1950.0,1.337
617,4,11.0,4.0,2.0,1940.0,2.215
619,3,11.0,3.0,2.0,1920.0,1.518
620,3,11.0,3.0,1.0,1950.0,1.71
623,3,11.0,3.0,1.0,1940.0,1.655
628,4,11.0,4.0,2.0,1938.0,1.55
630,3,11.0,3.0,2.0,2006.0,1.662
632,3,11.0,3.0,2.0,1945.0,1.665
646,3,11.0,3.0,2.0,1990.0,0.9
654,3,11.0,3.0,2.0,1945.0,1.5
659,4,11.0,4.0,2.0,1950.0,1.8
663,3,11.0,3.0,2.0,1940.0,1.83
665,3,11.0,3.0,1.0,1950.0,1.415
666,2,11.0,2.0,1.0,1940.0,1.44
667,4,11.0,4.0,2.0,2007.0,1.25
669,5,11.0,5.0,3.0,1950.0,1.6
670,4,11.0,4.0,2.0,2000.0,1.86
671,3,11.0,3.0,2.0,1990.0,1.71
673,4,11.0,4.0,2.0,1935.0,1.79
674,4,11.0,4.0,2.0,1940.0,1.95
677,3,11.0,3.0,1.0,1947.0,1.65
680,2,12.2,2.0,1.0,1950.0,0.995
685,4,12.2,4.0,3.0,2016.0,1.2
686,2,12.2,2.0,1.0,1950.0,1.075
688,4,12.2,2.0,2.0,2000.0,1.5
690,2,12.2,2.0,1.0,1970.0,0.7
691,3,12.2,3.0,2.0,1950.0,0.761
694,3,12.2,3.0,1.0,1950.0,1.365
695,4,12.2,3.0,2.0,1970.0,1.1
702,2,12.2,2.0,1.0,2003.0,0.69
703,3,12.2,3.0,2.0,1950.0,1.631
705,4,12.2,4.0,2.0,1930.0,1.5
710,5,12.2,5.0,3.0,2000.0,1.5295
714,2,12.2,2.0,1.0,1970.0,0.6
721,3,12.2,3.0,1.0,1960.0,0.785
722,4,12.2,4.0,2.0,1950.0,1.24
724,2,12.2,2.0,1.0,2007.0,0.7
730,2,12.2,2.0,1.0,1950.0,1.11
731,3,12.2,3.0,1.0,1960.0,1.305
733,3,12.2,3.0,2.0,1958.0,0.855
739,3,12.2,3.0,2.0,2012.0,0.9005
743,3,12.2,3.0,2.0,1970.0,1.2
745,3,12.2,2.0,1.0,2012.0,0.83
748,3,10.5,3.0,1.0,1970.0,0.85
749,3,10.5,3.0,1.0,1980.0,0.75
750,3,10.5,3.0,3.0,2017.0,0.851
753,4,10.5,4.0,2.0,2008.0,0.806
754,4,10.5,3.0,2.0,2008.0,1.155
760,3,10.5,3.0,1.0,1970.0,0.68
765,3,10.5,3.0,1.0,1970.0,0.6275
769,4,10.5,4.0,3.0,1970.0,0.95
774,2,10.5,2.0,1.0,2012.0,0.585
785,2,10.5,2.0,1.0,1999.0,0.44
789,3,10.5,3.0,1.0,1960.0,0.705
790,4,10.5,4.0,3.0,1992.0,1.1
792,3,10.5,3.0,1.0,1965.0,0.8925
797,2,10.5,2.0,1.0,1995.0,0.5225
799,4,10.5,4.0,2.0,1960.0,0.68
800,3,10.5,3.0,1.0,1990.0,0.5
801,2,10.5,2.0,1.0,1993.0,0.55
803,3,10.5,3.0,1.0,1960.0,0.875
807,4,10.5,4.0,2.0,1961.0,0.762
812,2,10.5,2.0,1.0,1995.0,0.411
815,3,10.5,3.0,2.0,1970.0,0.805
816,4,10.5,4.0,2.0,1960.0,0.89
818,3,10.5,4.0,2.0,1950.0,0.634
819,3,10.5,3.0,1.0,1960.0,0.642
823,4,6.6,3.0,2.0,1900.0,1.819
824,2,6.6,2.0,1.0,1965.0,0.41
827,2,6.6,2.0,1.0,2000.0,1.015
831,2,6.6,2.0,1.0,1960.0,0.5025
832,2,6.6,2.0,1.0,1970.0,0.52
833,2,6.6,2.0,1.0,1960.0,0.442
835,3,6.6,3.0,1.0,1920.0,1.193
836,2,6.6,2.0,1.0,1960.0,0.416
838,2,6.6,2.0,1.0,1970.0,0.474
839,2,6.6,2.0,1.0,1930.0,0.981
840,3,6.6,3.0,2.0,1890.0,1.69
842,2,6.6,2.0,1.0,1970.0,0.54
843,3,6.6,3.0,1.0,1928.0,1.08
847,2,9.7,2.0,1.0,1920.0,2.1
848,4,9.7,4.0,2.0,1985.0,1.8
849,2,9.7,2.0,1.0,2000.0,1.255
850,3,9.7,3.0,2.0,1998.0,1.07
857,2,9.7,2.0,1.0,1977.0,0.806
860,5,9.7,5.0,3.0,2006.0,2.25
867,3,9.7,3.0,2.0,1976.0,1.14
874,2,9.7,3.0,1.0,1930.0,1.85
877,2,9.7,3.0,1.0,1975.0,0.805
881,3,9.7,3.0,1.0,1970.0,0.7
883,2,9.7,2.0,1.0,1960.0,0.5
884,3,9.7,3.0,2.0,1985.0,2.125
888,4,9.7,3.0,2.0,1948.0,1.8
890,2,9.7,2.0,1.0,2014.0,0.635
895,2,9.7,2.0,1.0,1960.0,0.526
899,3,9.7,3.0,1.0,1995.0,0.905
900,4,9.7,4.0,3.0,2016.0,1.75
901,2,9.7,2.0,1.0,1960.0,0.76
904,3,9.7,3.0,2.0,2003.0,1.367
910,4,9.7,4.0,3.0,2009.0,1.4
916,2,9.7,2.0,1.0,1960.0,0.625
930,2,9.7,2.0,1.0,1950.0,0.46
932,2,9.7,2.0,1.0,1985.0,1.053
933,3,9.7,3.0,2.0,1980.0,1.8
935,3,9.7,3.0,2.0,1995.0,1.472
940,2,9.7,2.0,1.0,1990.0,0.754
954,4,9.7,4.0,2.0,1981.0,2.188
955,2,9.7,2.0,1.0,1980.0,0.755
969,2,9.7,2.0,1.0,1960.0,0.65
981,4,9.7,3.0,1.0,1930.0,2.0
982,4,9.7,4.0,2.0,1940.0,1.9
987,3,9.7,3.0,2.0,1943.0,1.75
994,3,9.7,3.0,2.0,1940.0,1.1
1001,2,9.7,2.0,1.0,1960.0,0.73
1005,3,9.7,3.0,2.0,2011.0,1.5
1006,3,9.7,3.0,1.0,1950.0,1.85
1008,4,9.7,3.0,1.0,1935.0,1.7
1010,3,9.2,3.0,2.0,2000.0,1.315
1011,3,9.2,3.0,2.0,1950.0,1.5
1017,4,9.2,4.0,2.0,1955.0,1.905
1019,4,9.2,4.0,2.0,1955.0,1.9
1020,3,9.2,3.0,1.0,1950.0,2.251
1024,4,9.2,4.0,2.0,1950.0,2.205
1025,3,9.2,3.0,2.0,2011.0,1.265
1029,4,9.2,4.0,2.0,1960.0,1.75
1030,3,9.2,3.0,1.0,1950.0,1.45
1032,4,9.2,4.0,2.0,1958.0,1.825
1041,3,9.2,3.0,2.0,2003.0,1.15
1044,3,9.2,3.0,2.0,1953.0,1.575
1048,4,9.2,4.0,2.0,1965.0,1.572
1054,5,9.2,5.0,3.0,2013.0,1.75
1055,4,9.2,4.0,2.0,1990.0,1.85
1059,4,9.2,4.0,3.0,1970.0,2.13
1065,4,9.2,4.0,2.0,1993.0,1.74
1068,4,9.2,3.0,2.0,1970.0,1.3888
1069,4,9.2,4.0,2.0,1939.0,1.702
1070,4,9.2,4.0,2.0,1960.0,1.8
1077,5,9.2,3.0,1.0,1950.0,1.5
1078,5,9.2,5.0,3.0,1955.0,2.2
1085,3,9.2,3.0,2.0,1960.0,1.7
1086,3,9.2,2.0,1.0,1948.0,1.75
1088,3,9.2,3.0,3.0,2012.0,1.23
1091,4,9.2,3.0,3.0,1970.0,1.95
1093,5,9.2,5.0,2.0,1955.0,1.75
1095,5,9.2,5.0,2.0,1950.0,2.0
1096,3,9.2,3.0,1.0,1950.0,1.48
1099,3,9.2,3.0,1.0,1930.0,1.818
1108,4,9.2,4.0,2.0,1960.0,1.62
1110,3,9.2,3.0,1.0,1950.0,1.903
1114,4,9.2,4.0,3.0,1950.0,1.72
1120,4,9.2,4.0,2.0,1974.0,1.675
1121,4,9.2,4.0,3.0,2014.0,1.68
1131,4,9.2,4.0,2.0,1950.0,2.205
1135,3,9.2,3.0,2.0,1940.0,2.1
1137,2,9.2,2.0,1.0,1975.0,0.685
1141,3,9.2,3.0,2.0,2009.0,1.335
1146,4,9.2,4.0,2.0,1960.0,1.9
1153,2,9.2,2.0,1.0,1970.0,0.735
1156,2,9.2,2.0,1.0,1995.0,1.04
1161,4,9.2,4.0,2.0,1950.0,1.25
1162,6,9.2,6.0,3.0,1974.0,1.9
1165,5,9.2,5.0,3.0,1961.0,1.875
1167,4,9.2,4.0,2.0,1960.0,1.53
1171,4,9.2,3.0,2.0,1960.0,1.7
1179,3,9.2,3.0,2.0,2010.0,1.238
1180,3,9.2,3.0,1.0,1960.0,1.32
1183,2,9.2,2.0,1.0,1950.0,0.56
1184,3,9.2,3.0,1.0,1960.0,1.651
1185,5,9.2,5.0,3.0,1955.0,1.92
1186,5,9.2,5.0,2.0,1980.0,1.56
1190,3,9.2,3.0,2.0,2003.0,1.038
1194,5,9.2,4.0,3.0,1950.0,1.66
1196,3,9.2,3.0,2.0,1997.0,1.26
1201,4,9.2,4.0,2.0,1960.0,2.15
1202,3,9.2,3.0,2.0,1955.0,1.77
1204,2,9.2,3.0,1.0,1968.0,0.6915
1207,5,9.2,4.0,2.0,1957.0,1.836
1209,2,13.0,2.0,1.0,1974.0,0.636
1211,3,13.0,3.0,1.0,1950.0,0.875
1213,3,13.0,3.0,2.0,1997.0,0.895
1217,3,13.0,3.0,2.0,1960.0,1.425
1218,2,13.0,2.0,1.0,1970.0,0.851
1219,3,13.0,3.0,2.0,2000.0,1.2225
1227,3,13.0,3.0,2.0,1925.0,0.9
1229,7,13.0,7.0,3.0,1950.0,1.005
1230,3,13.0,3.0,1.0,1945.0,1.3175
1231,2,13.0,2.0,1.0,1965.0,0.36
1232,4,13.0,3.0,3.0,2012.0,1.435
1234,3,13.0,3.0,1.0,1940.0,1.11
1238,3,13.0,3.0,2.0,1940.0,1.5
1239,4,13.0,4.0,2.0,1940.0,1.3
1242,3,13.0,3.0,1.0,1948.0,1.125
1247,4,13.0,3.0,2.0,1940.0,1.328
1248,3,13.0,3.0,2.0,1910.0,1.34
1249,4,13.0,4.0,3.0,2010.0,1.155
1251,3,13.0,3.0,1.0,1960.0,1.275
1254,3,13.0,3.0,2.0,1987.0,0.77
1255,2,13.0,2.0,1.0,1940.0,0.855
1258,2,13.0,2.0,1.0,1960.0,0.65
1259,4,13.0,4.0,2.0,1950.0,1.815
1260,4,13.0,4.0,3.0,2008.0,2.255
1261,3,13.0,3.0,2.0,1950.0,1.47
1265,2,13.0,2.0,2.0,2005.0,0.855
1270,4,13.0,4.0,2.0,1930.0,1.86
1271,2,13.0,2.0,1.0,1990.0,0.725
1273,3,13.0,3.0,1.0,1950.0,1.293
1275,3,13.0,3.0,1.0,1925.0,1.39
1277,3,13.0,3.0,2.0,1970.0,1.328
1278,4,13.0,4.0,2.0,2008.0,1.247
1287,3,13.0,3.0,1.0,1950.0,1.37
1290,4,13.0,4.0,2.0,1920.0,1.385
1292,3,13.0,3.0,2.0,1965.0,1.095
1294,2,13.0,2.0,1.0,2012.0,0.725
1296,3,13.0,3.0,2.0,2007.0,0.825
1298,3,13.0,3.0,2.0,2012.0,1.235
1300,5,13.0,5.0,3.0,1986.0,1.6
1301,3,13.0,3.0,1.0,1950.0,1.165
1304,4,13.0,4.0,2.0,1950.0,1.91
1309,2,13.0,2.0,1.0,1960.0,0.82
1314,4,13.0,4.0,2.0,1970.0,1.43
1315,2,13.0,2.0,1.0,1970.0,0.91
1321,5,13.0,5.0,2.0,1926.0,1.9
1328,4,13.0,3.0,2.0,1930.0,1.65
1329,2,13.0,2.0,2.0,2007.0,0.67
1333,2,13.0,2.0,1.0,1998.0,0.68
1337,4,13.0,4.0,3.0,2010.0,1.32
1340,6,13.0,6.0,3.0,1988.0,1.9
1342,3,13.0,2.0,2.0,1930.0,1.535
1345,4,13.0,3.0,1.0,1940.0,1.281
1347,5,13.0,5.0,2.0,1950.0,1.385
1348,3,13.0,3.0,1.0,1970.0,0.5175
1351,2,13.0,2.0,1.0,1960.0,0.503
1354,2,13.0,2.0,1.0,1968.0,0.405
1361,2,13.9,2.0,2.0,2008.0,0.825
1362,2,13.9,2.0,1.0,2002.0,0.746
1366,5,13.9,5.0,2.0,1960.0,1.275
1378,3,13.9,3.0,2.0,1999.0,1.025
1385,2,13.9,2.0,1.0,1980.0,0.495
1387,4,13.9,3.0,2.0,1950.0,1.22
1389,3,13.9,3.0,1.0,1950.0,0.885
1390,3,13.9,0.0,2.0,2012.0,0.83
1392,4,13.9,4.0,2.0,1975.0,1.1
1394,3,13.9,3.0,2.0,1970.0,1.04
1395,4,13.9,3.0,3.0,2014.0,1.21
1397,4,13.9,3.0,2.0,2006.0,1.16
1398,3,13.9,3.0,2.0,1970.0,1.215
1399,4,13.9,4.0,2.0,1960.0,1.2
1400,3,13.9,3.0,2.0,1950.0,1.05
1401,5,13.9,5.0,2.0,1950.0,0.95
1402,2,13.9,3.0,2.0,1970.0,0.38
1406,3,13.9,3.0,2.0,1970.0,1.338
1410,2,13.9,2.0,1.0,1960.0,0.651
1411,3,13.9,3.0,1.0,1955.0,0.92
1412,3,13.9,4.0,2.0,1960.0,1.39
1420,1,13.9,1.0,1.0,1970.0,0.37
1421,3,13.9,3.0,1.0,1955.0,1.1
1425,4,13.9,4.0,1.0,1940.0,1.206
1426,2,13.9,2.0,1.0,1960.0,0.4865
1433,4,13.9,4.0,2.0,1970.0,1.415
1434,4,13.9,4.0,2.0,2012.0,1.185
1435,4,13.9,4.0,3.0,1960.0,1.06
1449,3,13.9,3.0,2.0,1998.0,0.845
1452,3,13.9,3.0,2.0,1995.0,0.86
1455,3,13.9,3.0,2.0,2009.0,0.921
1460,2,13.9,2.0,1.0,1960.0,0.7425
1461,3,13.9,3.0,2.0,1950.0,0.92
1467,2,13.9,2.0,1.0,1960.0,0.702
1470,3,13.9,3.0,2.0,2000.0,0.805
1472,4,13.9,4.0,2.0,2004.0,1.1
1477,3,13.9,3.0,1.0,1950.0,1.05
1481,2,13.9,2.0,2.0,2005.0,0.722
1482,3,13.9,3.0,1.0,1960.0,0.93
1484,3,13.9,3.0,2.0,2000.0,0.921
1485,4,13.9,3.0,1.0,1950.0,1.035
1486,3,13.9,3.0,2.0,1996.0,0.72
1489,4,13.9,4.0,2.0,1950.0,1.352
1490,4,13.9,4.0,2.0,2006.0,1.005
1492,5,13.9,4.0,2.0,1930.0,1.6
1494,3,13.9,3.0,1.0,1970.0,1.2
1497,3,13.9,3.0,2.0,1950.0,0.78
1498,4,13.9,4.0,2.0,2010.0,1.25
1502,4,13.9,4.0,2.0,1960.0,1.11
1504,4,13.9,4.0,2.0,1950.0,1.69
1505,3,13.9,3.0,3.0,1950.0,0.791
1506,3,13.9,3.0,1.0,1940.0,0.9
1507,3,13.9,4.0,2.0,2010.0,1.189
1511,3,13.9,3.0,2.0,2000.0,0.97
1517,3,13.9,3.0,2.0,2003.0,0.823
1522,4,13.9,4.0,2.0,1940.0,0.95
1523,4,13.9,4.0,2.0,2010.0,1.045
1527,3,13.9,3.0,2.0,1994.0,0.8
1528,2,13.9,2.0,1.0,2000.0,0.655
1529,5,13.9,5.0,3.0,1950.0,1.55
1530,3,13.9,3.0,1.0,1980.0,0.835
1534,4,13.9,3.0,2.0,2015.0,1.465
1536,3,13.9,3.0,1.0,1950.0,0.91
1537,3,13.9,3.0,2.0,2007.0,0.92
1538,3,13.9,3.0,2.0,2012.0,0.935
1539,3,13.9,3.0,1.0,1970.0,0.977
1540,3,13.9,3.0,1.0,1950.0,1.352
1541,4,13.9,4.0,2.0,1960.0,1.115
1542,3,13.9,3.0,1.0,1966.0,0.78
1545,3,13.9,3.0,1.0,1949.0,1.197
1546,2,13.9,2.0,2.0,2011.0,0.485
1547,3,13.9,3.0,2.0,1950.0,0.81
1548,4,13.9,4.0,1.0,1960.0,1.365
1550,4,13.9,4.0,2.0,2006.0,1.698888
1556,2,13.9,2.0,1.0,2012.0,0.34
1559,3,13.9,3.0,2.0,2010.0,0.965
1560,3,13.9,3.0,2.0,2011.0,0.87
1563,3,13.9,3.0,2.0,1950.0,1.161
1565,3,13.9,3.0,1.0,1970.0,1.266
1566,3,13.9,3.0,2.0,2008.0,0.7
1568,4,13.9,4.0,4.0,2012.0,1.325
1569,3,13.9,3.0,2.0,2005.0,0.77
1571,1,13.9,1.0,1.0,1970.0,0.38
1572,4,13.9,4.0,2.0,1980.0,1.175
1573,3,13.9,3.0,1.0,1960.0,1.2
1575,4,13.9,4.0,1.0,1970.0,1.37
1576,4,13.9,4.0,1.0,1950.0,1.4335
1581,3,13.9,3.0,2.0,2005.0,0.86
1585,2,13.9,2.0,1.0,1995.0,0.715
