,Suburb,Number of Rooms,Distance,Number of Bedroom,Bathroom,YearBuilt,"Price in $1,000,000",Population,Education Score,State,State Rank
68,Albert Park,2,3.3,2.0,1.0,1890.0,0.98,6044,1153,VIC,2788
69,Albert Park,3,3.3,3.0,2.0,1890.0,1.74,6044,1153,VIC,2788
70,Albert Park,1,3.3,1.0,1.0,1900.0,0.985,6044,1153,VIC,2788
71,Alphington,4,6.4,3.0,2.0,1930.0,2.0,5702,1157,VIC,2794
72,Alphington,3,6.4,3.0,2.0,2013.0,1.11,5702,1157,VIC,2794
73,Alphington,4,6.4,4.0,2.0,1925.0,1.7175,5702,1157,VIC,2794
74,Alphington,2,6.4,2.0,1.0,1960.0,0.5255,5702,1157,VIC,2794
75,Alphington,2,6.4,2.0,2.0,2004.0,0.805,5702,1157,VIC,2794
76,Alphington,4,6.4,4.0,2.0,1970.0,1.83,5702,1157,VIC,2794
77,Alphington,4,6.4,4.0,2.0,2008.0,2.1,5702,1157,VIC,2794
78,Alphington,3,6.4,3.0,1.0,2010.0,0.865,5702,1157,VIC,2794
79,Alphington,2,6.4,2.0,1.0,1960.0,0.39,5702,1157,VIC,2794
80,Alphington,2,6.4,2.0,1.0,1965.0,0.512,5702,1157,VIC,2794
81,Alphington,4,6.4,4.0,2.0,1930.0,1.9,5702,1157,VIC,2794
82,Alphington,4,6.4,4.0,2.0,1920.0,1.95,5702,1157,VIC,2794
83,Altona,3,13.8,3.0,2.0,2015.0,0.52,11490,1054,VIC,2271
84,Altona,5,13.8,5.0,3.0,2005.0,1.525,11490,1054,VIC,2271
85,Altona,2,13.8,2.0,1.0,2013.0,0.72,11490,1054,VIC,2271
86,Altona,3,13.8,3.0,1.0,1930.0,1.12,11490,1054,VIC,2271
87,Altona,4,13.8,4.0,3.0,1962.0,1.78,11490,1054,VIC,2271
88,Altona,3,13.8,2.0,1.0,1955.0,0.63,11490,1054,VIC,2271
89,Altona,3,13.8,3.0,1.0,1955.0,0.66,11490,1054,VIC,2271
90,Altona,2,13.8,2.0,1.0,1988.0,0.58,11490,1054,VIC,2271
91,Altona,3,13.8,3.0,1.0,1953.0,1.335,11490,1054,VIC,2271
92,Altona,3,13.8,3.0,2.0,1997.0,0.8,11490,1054,VIC,2271
93,Altona,2,13.8,2.0,1.0,1990.0,0.51,11490,1054,VIC,2271
94,Altona,2,13.8,2.0,1.0,1980.0,0.425,11490,1054,VIC,2271
95,Altona,2,13.8,2.0,1.0,1965.0,0.391,11490,1054,VIC,2271
96,Altona,4,13.8,4.0,1.0,1950.0,0.845,11490,1054,VIC,2271
97,Altona,3,13.8,3.0,2.0,2014.0,0.73,11490,1054,VIC,2271
98,Altona,3,13.8,3.0,1.0,1960.0,0.635,11490,1054,VIC,2271
99,Altona,2,13.8,2.0,1.0,1990.0,0.447,11490,1054,VIC,2271
100,Altona,3,13.8,3.0,1.0,1950.0,0.678,11490,1054,VIC,2271
101,Altona,2,13.8,2.0,2.0,2013.0,0.58,11490,1054,VIC,2271
102,Altona,3,13.8,3.0,2.0,1965.0,0.84,11490,1054,VIC,2271
103,Altona,3,13.8,3.0,2.0,2007.0,0.577,11490,1054,VIC,2271
104,Altona,2,13.8,2.0,2.0,1950.0,0.857,11490,1054,VIC,2271
105,Altona,3,13.8,3.0,2.0,2014.0,0.73,11490,1054,VIC,2271
106,Altona,4,13.8,4.0,2.0,1970.0,0.931,11490,1054,VIC,2271
107,Altona,2,13.8,2.0,1.0,1996.0,0.5356,11490,1054,VIC,2271
108,Altona North,5,11.1,5.0,3.0,1965.0,1.085,12962,1009,VIC,1564
109,Altona North,3,11.1,3.0,1.0,1970.0,0.781,12962,1009,VIC,1564
110,Altona North,2,11.1,2.0,1.0,2009.0,0.421,12962,1009,VIC,1564
111,Altona North,3,11.1,3.0,1.0,1967.0,0.683,12962,1009,VIC,1564
112,Altona North,3,11.1,3.0,2.0,2012.0,0.72,12962,1009,VIC,1564
113,Altona North,3,11.1,3.0,1.0,1970.0,0.588,12962,1009,VIC,1564
114,Altona North,3,11.1,3.0,1.0,1960.0,0.71,12962,1009,VIC,1564
115,Altona North,4,11.1,3.0,1.0,1965.0,0.875,12962,1009,VIC,1564
116,Altona North,2,11.1,2.0,1.0,1965.0,0.64,12962,1009,VIC,1564
117,Altona North,3,11.1,3.0,2.0,2012.0,0.675,12962,1009,VIC,1564
118,Altona North,3,11.1,3.0,1.0,1960.0,0.708,12962,1009,VIC,1564
119,Altona North,4,11.1,4.0,2.0,2008.0,0.693,12962,1009,VIC,1564
120,Altona North,3,11.1,5.0,2.0,2010.0,0.62,12962,1009,VIC,1564
121,Altona North,3,11.1,3.0,1.0,1960.0,0.7285,12962,1009,VIC,1564
122,Altona North,3,11.1,3.0,2.0,1950.0,0.931,12962,1009,VIC,1564
123,Altona North,3,11.1,3.0,1.0,2008.0,0.988,12962,1009,VIC,1564
124,Altona North,3,11.1,3.0,2.0,1960.0,0.815,12962,1009,VIC,1564
125,Altona North,4,11.1,4.0,1.0,1960.0,1.2,12962,1009,VIC,1564
126,Altona North,2,11.1,2.0,1.0,1970.0,0.292,12962,1009,VIC,1564
127,Armadale,2,6.3,2.0,1.0,1964.0,0.599,9368,1167,VIC,2810
128,Armadale,3,6.3,3.0,2.0,1998.0,0.995,9368,1167,VIC,2810
129,Armadale,3,6.3,3.0,2.0,2000.0,1.205,9368,1167,VIC,2810
130,Armadale,3,6.3,3.0,2.0,1889.0,1.939,9368,1167,VIC,2810
131,Armadale,3,6.3,3.0,1.0,1888.0,1.87,9368,1167,VIC,2810
132,Armadale,3,6.3,3.0,2.0,1995.0,1.918,9368,1167,VIC,2810
133,Armadale,3,6.3,3.0,2.0,1910.0,2.05,9368,1167,VIC,2810
134,Armadale,3,6.3,3.0,2.0,1970.0,0.735,9368,1167,VIC,2810
135,Armadale,2,6.3,3.0,1.0,1960.0,0.645,9368,1167,VIC,2810
136,Armadale,1,6.3,2.0,2.0,1900.0,1.435,9368,1167,VIC,2810
137,Armadale,1,6.3,1.0,1.0,1975.0,0.28,9368,1167,VIC,2810
138,Armadale,2,6.3,2.0,1.0,1970.0,0.5925,9368,1167,VIC,2810
139,Armadale,2,6.3,2.0,1.0,1910.0,1.21,9368,1167,VIC,2810
140,Armadale,3,6.3,3.0,2.0,1910.0,1.8,9368,1167,VIC,2810
141,Armadale,4,6.3,4.0,1.0,1900.0,2.2,9368,1167,VIC,2810
142,Armadale,1,6.3,1.0,1.0,1970.0,0.44,9368,1167,VIC,2810
143,Armadale,2,6.3,2.0,1.0,1966.0,0.49,9368,1167,VIC,2810
144,Armadale,3,6.3,2.0,1.0,1900.0,1.3,9368,1167,VIC,2810
145,Armadale,2,6.3,2.0,1.0,1969.0,0.704,9368,1167,VIC,2810
146,Armadale,2,6.3,3.0,1.0,1970.0,0.62,9368,1167,VIC,2810
147,Armadale,3,6.3,3.0,1.0,1900.0,1.9,9368,1167,VIC,2810
148,Armadale,2,6.3,2.0,1.0,1970.0,0.71,9368,1167,VIC,2810
149,Armadale,2,6.3,2.0,1.0,1953.0,0.872,9368,1167,VIC,2810
150,Armadale,2,6.3,2.0,1.0,1970.0,0.598,9368,1167,VIC,2810
151,Armadale,3,6.3,3.0,1.0,1920.0,1.285,9368,1167,VIC,2810
152,Armadale,2,6.3,1.0,1.0,1970.0,0.52,9368,1167,VIC,2810
153,Armadale,3,6.3,3.0,1.0,2000.0,1.101,9368,1167,VIC,2810
154,Armadale,3,6.3,2.0,1.0,1940.0,0.869,9368,1167,VIC,2810
155,Armadale,1,6.3,1.0,1.0,2013.0,0.567,9368,1167,VIC,2810
156,Armadale,2,6.3,2.0,1.0,1980.0,0.4715,9368,1167,VIC,2810
157,Ascot Vale,3,5.9,3.0,1.0,1920.0,0.94,15197,1093,VIC,2613
158,Ascot Vale,2,5.9,2.0,1.0,1980.0,0.467,15197,1093,VIC,2613
159,Ascot Vale,3,5.9,3.0,2.0,1910.0,1.38,15197,1093,VIC,2613
160,Ascot Vale,2,5.9,2.0,1.0,1970.0,0.49,15197,1093,VIC,2613
161,Ascot Vale,4,5.9,4.0,3.0,1900.0,1.85,15197,1093,VIC,2613
162,Ascot Vale,3,5.9,3.0,1.0,1938.0,1.284,15197,1093,VIC,2613
163,Ascot Vale,3,5.9,3.0,2.0,1900.0,0.971,15197,1093,VIC,2613
164,Ascot Vale,2,5.9,2.0,1.0,1890.0,0.71,15197,1093,VIC,2613
165,Ascot Vale,2,5.9,2.0,1.0,1920.0,0.75,15197,1093,VIC,2613
166,Ascot Vale,2,5.9,2.0,1.0,1900.0,1.053,15197,1093,VIC,2613
167,Ascot Vale,3,5.9,3.0,1.0,1900.0,1.377,15197,1093,VIC,2613
168,Ascot Vale,3,5.9,3.0,1.0,1904.0,0.97,15197,1093,VIC,2613
169,Ascot Vale,2,5.9,2.0,1.0,1890.0,0.751,15197,1093,VIC,2613
170,Ascot Vale,2,5.9,2.0,1.0,1900.0,0.95,15197,1093,VIC,2613
171,Ascot Vale,2,5.9,2.0,1.0,1995.0,0.685,15197,1093,VIC,2613
172,Ascot Vale,3,5.9,4.0,1.0,1960.0,1.23,15197,1093,VIC,2613
173,Ascot Vale,2,5.9,2.0,1.0,1900.0,0.77,15197,1093,VIC,2613
174,Ascot Vale,3,5.9,3.0,2.0,2011.0,0.96,15197,1093,VIC,2613
175,Ascot Vale,4,5.9,4.0,1.0,1890.0,0.89,15197,1093,VIC,2613
176,Ascot Vale,3,5.9,3.0,1.0,1900.0,1.44,15197,1093,VIC,2613
177,Ascot Vale,2,5.9,2.0,1.0,2010.0,0.45,15197,1093,VIC,2613
178,Ascot Vale,3,5.9,3.0,1.0,1950.0,0.801,15197,1093,VIC,2613
179,Ascot Vale,3,5.9,3.0,2.0,1955.0,1.0,15197,1093,VIC,2613
180,Ascot Vale,3,5.9,3.0,2.0,1950.0,1.435,15197,1093,VIC,2613
181,Ascot Vale,1,5.9,1.0,1.0,1972.0,0.39,15197,1093,VIC,2613
182,Ascot Vale,3,5.9,3.0,2.0,1920.0,1.425,15197,1093,VIC,2613
183,Ascot Vale,4,5.9,3.0,2.0,1978.0,1.34,15197,1093,VIC,2613
184,Ascot Vale,3,5.9,3.0,1.0,1910.0,0.955,15197,1093,VIC,2613
185,Ascot Vale,4,5.9,4.0,2.0,1920.0,1.1,15197,1093,VIC,2613
186,Ascot Vale,2,5.9,2.0,1.0,1978.0,0.432,15197,1093,VIC,2613
187,Ascot Vale,4,5.9,4.0,3.0,1890.0,1.64,15197,1093,VIC,2613
188,Ascot Vale,6,5.9,4.0,2.0,1900.0,1.43,15197,1093,VIC,2613
189,Ascot Vale,2,5.9,2.0,1.0,1995.0,0.61,15197,1093,VIC,2613
190,Ascot Vale,3,5.9,3.0,3.0,1950.0,0.94,15197,1093,VIC,2613
191,Ascot Vale,3,5.9,3.0,1.0,1920.0,0.89,15197,1093,VIC,2613
192,Ascot Vale,3,5.9,3.0,2.0,1930.0,1.18,15197,1093,VIC,2613
193,Ascot Vale,4,5.9,4.0,2.0,1939.0,1.48,15197,1093,VIC,2613
194,Ascot Vale,2,5.9,2.0,2.0,2015.0,0.865,15197,1093,VIC,2613
195,Ascot Vale,2,5.9,2.0,2.0,1998.0,0.705,15197,1093,VIC,2613
196,Ascot Vale,2,5.9,2.0,1.0,1975.0,0.442,15197,1093,VIC,2613
197,Ascot Vale,3,5.9,3.0,1.0,1920.0,1.0375,15197,1093,VIC,2613
198,Ascot Vale,3,5.9,3.0,2.0,2013.0,1.05,15197,1093,VIC,2613
199,Ascot Vale,2,5.9,2.0,1.0,1970.0,0.44,15197,1093,VIC,2613
200,Ascot Vale,4,5.9,4.0,2.0,1900.0,1.43,15197,1093,VIC,2613
201,Ascot Vale,3,5.9,3.0,2.0,1900.0,1.13,15197,1093,VIC,2613
202,Ascot Vale,3,5.9,3.0,1.0,1910.0,1.135,15197,1093,VIC,2613
203,Ascot Vale,4,5.9,4.0,2.0,1920.0,0.95,15197,1093,VIC,2613
204,Ascot Vale,2,5.9,2.0,1.0,2012.0,0.39,15197,1093,VIC,2613
205,Ascot Vale,4,5.9,4.0,1.0,1920.0,1.345,15197,1093,VIC,2613
206,Ascot Vale,3,5.9,3.0,2.0,1900.0,1.3815,15197,1093,VIC,2613
207,Ascot Vale,3,5.9,3.0,2.0,2011.0,0.94,15197,1093,VIC,2613
208,Ascot Vale,3,5.9,3.0,2.0,2010.0,0.995,15197,1093,VIC,2613
209,Ascot Vale,3,5.9,3.0,2.0,1940.0,0.786,15197,1093,VIC,2613
210,Ascot Vale,2,5.9,2.0,1.0,1910.0,0.705,15197,1093,VIC,2613
211,Ascot Vale,2,5.9,2.0,1.0,1900.0,0.76,15197,1093,VIC,2613
212,Ascot Vale,3,5.9,3.0,1.0,1972.0,0.4875,15197,1093,VIC,2613
213,Ascot Vale,3,5.9,3.0,2.0,2003.0,1.0,15197,1093,VIC,2613
214,Ascot Vale,4,5.9,4.0,2.0,1920.0,1.11,15197,1093,VIC,2613
215,Ascot Vale,3,5.9,2.0,1.0,1900.0,1.305,15197,1093,VIC,2613
216,Ascot Vale,3,5.9,3.0,1.0,1960.0,1.215,15197,1093,VIC,2613
217,Ascot Vale,2,5.9,2.0,1.0,1900.0,0.545,15197,1093,VIC,2613
218,Ascot Vale,4,5.9,4.0,2.0,2012.0,1.705,15197,1093,VIC,2613
219,Ashburton,3,11.0,3.0,2.0,1930.0,1.67,7952,1138,VIC,2758
220,Ashburton,3,11.0,3.0,3.0,2014.0,2.05,7952,1138,VIC,2758
221,Ashburton,2,11.0,2.0,1.0,2010.0,0.5,7952,1138,VIC,2758
222,Ashburton,3,11.0,3.0,2.0,1935.0,1.555,7952,1138,VIC,2758
223,Ashburton,3,11.0,3.0,3.0,2004.0,1.1,7952,1138,VIC,2758
224,Ashburton,3,11.0,3.0,1.0,1950.0,1.337,7952,1138,VIC,2758
225,Ashburton,4,11.0,4.0,2.0,1940.0,2.215,7952,1138,VIC,2758
226,Ashburton,3,11.0,3.0,2.0,1920.0,1.518,7952,1138,VIC,2758
227,Ashburton,3,11.0,3.0,1.0,1950.0,1.71,7952,1138,VIC,2758
228,Ashburton,3,11.0,3.0,1.0,1940.0,1.655,7952,1138,VIC,2758
229,Ashburton,4,11.0,4.0,2.0,1938.0,1.55,7952,1138,VIC,2758
230,Ashburton,3,11.0,3.0,2.0,2006.0,1.662,7952,1138,VIC,2758
231,Ashburton,3,11.0,3.0,2.0,1945.0,1.665,7952,1138,VIC,2758
232,Ashburton,3,11.0,3.0,2.0,1990.0,0.9,7952,1138,VIC,2758
233,Ashburton,3,11.0,3.0,2.0,1945.0,1.5,7952,1138,VIC,2758
234,Ashburton,4,11.0,4.0,2.0,1950.0,1.8,7952,1138,VIC,2758
235,Ashburton,3,11.0,3.0,2.0,1940.0,1.83,7952,1138,VIC,2758
236,Ashburton,3,11.0,3.0,1.0,1950.0,1.415,7952,1138,VIC,2758
237,Ashburton,2,11.0,2.0,1.0,1940.0,1.44,7952,1138,VIC,2758
238,Ashburton,4,11.0,4.0,2.0,2007.0,1.25,7952,1138,VIC,2758
239,Ashburton,5,11.0,5.0,3.0,1950.0,1.6,7952,1138,VIC,2758
240,Ashburton,4,11.0,4.0,2.0,2000.0,1.86,7952,1138,VIC,2758
241,Ashburton,3,11.0,3.0,2.0,1990.0,1.71,7952,1138,VIC,2758
242,Ashburton,4,11.0,4.0,2.0,1935.0,1.79,7952,1138,VIC,2758
243,Ashburton,4,11.0,4.0,2.0,1940.0,1.95,7952,1138,VIC,2758
244,Ashburton,3,11.0,3.0,1.0,1947.0,1.65,7952,1138,VIC,2758
245,Ashwood,2,12.2,2.0,1.0,1950.0,0.995,7154,1097,VIC,2639
246,Ashwood,4,12.2,4.0,3.0,2016.0,1.2,7154,1097,VIC,2639
247,Ashwood,2,12.2,2.0,1.0,1950.0,1.075,7154,1097,VIC,2639
248,Ashwood,4,12.2,2.0,2.0,2000.0,1.5,7154,1097,VIC,2639
249,Ashwood,2,12.2,2.0,1.0,1970.0,0.7,7154,1097,VIC,2639
250,Ashwood,3,12.2,3.0,2.0,1950.0,0.761,7154,1097,VIC,2639
251,Ashwood,3,12.2,3.0,1.0,1950.0,1.365,7154,1097,VIC,2639
252,Ashwood,4,12.2,3.0,2.0,1970.0,1.1,7154,1097,VIC,2639
253,Ashwood,2,12.2,2.0,1.0,2003.0,0.69,7154,1097,VIC,2639
254,Ashwood,3,12.2,3.0,2.0,1950.0,1.631,7154,1097,VIC,2639
255,Ashwood,4,12.2,4.0,2.0,1930.0,1.5,7154,1097,VIC,2639
256,Ashwood,5,12.2,5.0,3.0,2000.0,1.5295,7154,1097,VIC,2639
257,Ashwood,2,12.2,2.0,1.0,1970.0,0.6,7154,1097,VIC,2639
258,Ashwood,3,12.2,3.0,1.0,1960.0,0.785,7154,1097,VIC,2639
259,Ashwood,4,12.2,4.0,2.0,1950.0,1.24,7154,1097,VIC,2639
260,Ashwood,2,12.2,2.0,1.0,2007.0,0.7,7154,1097,VIC,2639
261,Ashwood,2,12.2,2.0,1.0,1950.0,1.11,7154,1097,VIC,2639
262,Ashwood,3,12.2,3.0,1.0,1960.0,1.305,7154,1097,VIC,2639
263,Ashwood,3,12.2,3.0,2.0,1958.0,0.855,7154,1097,VIC,2639
264,Ashwood,3,12.2,3.0,2.0,2012.0,0.9005,7154,1097,VIC,2639
265,Ashwood,3,12.2,3.0,2.0,1970.0,1.2,7154,1097,VIC,2639
266,Ashwood,3,12.2,2.0,1.0,2012.0,0.83,7154,1097,VIC,2639
267,Avondale Heights,3,10.5,3.0,1.0,1970.0,0.85,12388,1003,VIC,1451
268,Avondale Heights,3,10.5,3.0,1.0,1980.0,0.75,12388,1003,VIC,1451
269,Avondale Heights,3,10.5,3.0,3.0,2017.0,0.851,12388,1003,VIC,1451
270,Avondale Heights,4,10.5,4.0,2.0,2008.0,0.806,12388,1003,VIC,1451
271,Avondale Heights,4,10.5,3.0,2.0,2008.0,1.155,12388,1003,VIC,1451
272,Avondale Heights,3,10.5,3.0,1.0,1970.0,0.68,12388,1003,VIC,1451
273,Avondale Heights,3,10.5,3.0,1.0,1970.0,0.6275,12388,1003,VIC,1451
274,Avondale Heights,4,10.5,4.0,3.0,1970.0,0.95,12388,1003,VIC,1451
275,Avondale Heights,2,10.5,2.0,1.0,2012.0,0.585,12388,1003,VIC,1451
276,Avondale Heights,2,10.5,2.0,1.0,1999.0,0.44,12388,1003,VIC,1451
277,Avondale Heights,3,10.5,3.0,1.0,1960.0,0.705,12388,1003,VIC,1451
278,Avondale Heights,4,10.5,4.0,3.0,1992.0,1.1,12388,1003,VIC,1451
279,Avondale Heights,3,10.5,3.0,1.0,1965.0,0.8925,12388,1003,VIC,1451
280,Avondale Heights,2,10.5,2.0,1.0,1995.0,0.5225,12388,1003,VIC,1451
281,Avondale Heights,4,10.5,4.0,2.0,1960.0,0.68,12388,1003,VIC,1451
282,Avondale Heights,3,10.5,3.0,1.0,1990.0,0.5,12388,1003,VIC,1451
283,Avondale Heights,2,10.5,2.0,1.0,1993.0,0.55,12388,1003,VIC,1451
284,Avondale Heights,3,10.5,3.0,1.0,1960.0,0.875,12388,1003,VIC,1451
285,Avondale Heights,4,10.5,4.0,2.0,1961.0,0.762,12388,1003,VIC,1451
286,Avondale Heights,2,10.5,2.0,1.0,1995.0,0.411,12388,1003,VIC,1451
287,Avondale Heights,3,10.5,3.0,2.0,1970.0,0.805,12388,1003,VIC,1451
288,Avondale Heights,4,10.5,4.0,2.0,1960.0,0.89,12388,1003,VIC,1451
289,Avondale Heights,3,10.5,4.0,2.0,1950.0,0.634,12388,1003,VIC,1451
290,Avondale Heights,3,10.5,3.0,1.0,1960.0,0.642,12388,1003,VIC,1451
291,Balaclava,4,6.6,3.0,2.0,1900.0,1.819,5392,1146,VIC,2781
292,Balaclava,2,6.6,2.0,1.0,1965.0,0.41,5392,1146,VIC,2781
293,Balaclava,2,6.6,2.0,1.0,2000.0,1.015,5392,1146,VIC,2781
294,Balaclava,2,6.6,2.0,1.0,1960.0,0.5025,5392,1146,VIC,2781
295,Balaclava,2,6.6,2.0,1.0,1970.0,0.52,5392,1146,VIC,2781
296,Balaclava,2,6.6,2.0,1.0,1960.0,0.442,5392,1146,VIC,2781
297,Balaclava,3,6.6,3.0,1.0,1920.0,1.193,5392,1146,VIC,2781
298,Balaclava,2,6.6,2.0,1.0,1960.0,0.416,5392,1146,VIC,2781
299,Balaclava,2,6.6,2.0,1.0,1970.0,0.474,5392,1146,VIC,2781
300,Balaclava,2,6.6,2.0,1.0,1930.0,0.981,5392,1146,VIC,2781
301,Balaclava,3,6.6,3.0,2.0,1890.0,1.69,5392,1146,VIC,2781
302,Balaclava,2,6.6,2.0,1.0,1970.0,0.54,5392,1146,VIC,2781
303,Balaclava,3,6.6,3.0,1.0,1928.0,1.08,5392,1146,VIC,2781
304,Balwyn,2,9.7,2.0,1.0,1920.0,2.1,13495,1139,VIC,2761
305,Balwyn,4,9.7,4.0,2.0,1985.0,1.8,13495,1139,VIC,2761
306,Balwyn,2,9.7,2.0,1.0,2000.0,1.255,13495,1139,VIC,2761
307,Balwyn,3,9.7,3.0,2.0,1998.0,1.07,13495,1139,VIC,2761
308,Balwyn,2,9.7,2.0,1.0,1977.0,0.806,13495,1139,VIC,2761
309,Balwyn,5,9.7,5.0,3.0,2006.0,2.25,13495,1139,VIC,2761
310,Balwyn,3,9.7,3.0,2.0,1976.0,1.14,13495,1139,VIC,2761
311,Balwyn,2,9.7,3.0,1.0,1930.0,1.85,13495,1139,VIC,2761
312,Balwyn,2,9.7,3.0,1.0,1975.0,0.805,13495,1139,VIC,2761
